cycle,type,startdate
2016,polls-plus,10/25/2016
2016,polls-plus,10/27/2016
2016,polls-plus,10/27/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/22/2016
2016,polls-plus,10/26/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/23/2016
2016,polls-plus,10/29/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/14/2016
2016,polls-plus,10/29/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/21/2016
2016,polls-plus,10/26/2016
2016,polls-plus,10/23/2016
2016,polls-plus,10/14/2016
2016,polls-plus,10/27/2016
2016,polls-plus,10/26/2016
2016,polls-plus,10/22/2016
2016,polls-plus,10/26/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/26/2016
2016,polls-plus,10/27/2016
2016,polls-plus,10/24/2016
2016,polls-plus,10/23/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/30/2016
2016,polls-plus,10/30/2016
2016,polls-plus,10/30/2016
2016,polls-plus,10/30/2016
2016,polls-plus,10/24/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/24/2016
2016,polls-plus,10/22/2016
2016,polls-plus,10/30/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/28/2016
2016,polls-plus,10/22/2016
2016,polls-plus,10/17/2016
2016,polls-plus,10/21/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/30/2016
2016,polls-plus,10/28/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/26/2016
2016,polls-plus,10/27/2016
2016,polls-plus,10/26/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/30/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/17/2016
2016,polls-plus,10/21/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/21/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/26/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/26/2016
2016,polls-plus,10/24/2016
2016,polls-plus,10/21/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/21/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/30/2016
2016,polls-plus,10/20/2016
2016,polls-plus,10/25/2016
2016,polls-plus,10/21/2016
