,area,com_client,comment,goods_name,score,times,user_grade,user_id
0,广东,来自京东iPhone客户端,假酒。便宜没好货 喝完头超疼,梅洛-红,grade-star g-star1,2016-08-18 16:51,铜牌会员,j***6
1,,来自京东iPhone客户端,红酒最基本的木塞都没有 真差这酒,梅洛-红,grade-star g-star1,2016-09-03 14:28,银牌会员,j***p
2,广东,来自京东iPhone客户端,酒不杂样,西拉-红,grade-star g-star1,2016-08-23 16:45,金牌会员,j***m
3,,来自京东iPhone客户端,居然写错收件人名称，幸亏别人拿回家又送回来！,梅洛-红,grade-star g-star1,2016-09-01 18:39,银牌会员,R***S
4,,来自京东iPhone客户端,瓶盖破损了，两瓶都这样,西拉-红,grade-star g-star1,2016-09-03 14:18,铜牌会员,j***h
5,广东,来自京东iPhone客户端,图片上是14年的：送过来是15年,西拉-红,grade-star g-star1,2016-09-02 13:01,钻石会员,j***2
6,上海,来自京东iPhone客户端,这个连橡木塞都没有，感觉不是很好，味很冲，不太喜欢,梅洛-红,grade-star g-star1,2016-09-01 22:40,银牌会员,q***8
7,甘肃,来自京东iPhone客户端,假酒,西拉-红,grade-star g-star1,2016-08-24 17:01,铜牌会员,S***8
8,广东,来自京东iPhone客户端,*时都没有区别，酸，口感单调，没有果味，但总体比红米酒好！,西拉-红,grade-star g-star1,2016-08-31 20:04,钻石会员,天***心
9,,来自京东iPhone客户端,这个不想说什么了，买了第二天*，感觉被坑了,西拉-红,grade-star g-star1,2016-08-28 19:51,铜牌会员,j***5
10,北京,来自京东iPad客户端,特别难喝，酒很酸，和在超市买的梅洛干红完全不同，感觉是假酒。,梅洛-红,grade-star g-star1,2016-08-20 02:53,金牌会员,jdhyyman
11,上海,来自京东iPhone客户端,酒精味很重，铝盖不是软木塞，不会再买了，不好喝,加本力梅洛-红,grade-star g-star1,2016-08-25 20:32,金牌会员,赤***酷
12,,,业,梅洛-红,grade-star g-star1,2016-08-22 10:45,银牌会员,一***风
13,,来自京东Android客户端,这酒不好喝了，苦的！,西拉-红,grade-star g-star1,2016-08-24 16:18,银牌会员,I***H
14,福建,来自京东iPhone客户端,放在蜂巢就算了，蜂巢,西拉-红,grade-star g-star1,2016-08-25 12:12,钻石会员,饭***团
15,广东,来自京东iPhone客户端,*也不宁愿要。真的是火。酒年份还是最新的。真的难喝。大家不要买。,西拉-红,grade-star g-star1,2016-08-23 02:44,银牌会员,j***p
