,area,com_client,comment,goods_name,score,times,user_grade,user_id
0,宁夏,来自京东Android客户端,京东的物流是没得说了，很快。这次买酒水类，包装很仔细，没有出现意外。酒到手了，绝对是正品。感觉很不错哟！,霞多丽白,grade-star g-star5,2016-06-19 11:29,金牌会员,大***抱
1,天津,来自京东iPhone客户端,活动买的，低档葡萄酒认准澳洲就对了,桑格利亚,grade-star g-star5,2016-08-04 20:19,金牌会员,j***v
2,河南,,好吃，但是价格也不便宜的啊,西拉-红,grade-star g-star5,2016-09-05 22:37,钻石会员,芬***神
3,北京,,到货很快，第二天就到了，东西包装细致，感觉很不错！只是口感不是我喜欢的！,西拉-红,grade-star g-star5,2016-08-30 22:50,金牌会员,c***9
4,江苏,来自京东iPhone客户端,不错，价格实惠，值得购买,梅洛-红,grade-star g-star4,2016-09-01 20:03,钻石会员,t***k
5,,来自京东Android客户端,不是干红 。。买错了,西拉-红,grade-star g-star4,2016-09-02 10:45,铜牌会员,大***尚
6,天津,,还不错，只是是塑料盖的，第一次买来自己喝，还可以，开瓶时嘣的一声,起泡葡萄酒,grade-star g-star5,2016-08-28 11:54,钻石会员,悠***s
7,广东,来自京东iPhone客户端,这款酒是很不错，比市面上所谓法国红酒要好，相信京东自营应该不会卖假货，京东的快递速度没的说。,梅洛-红,grade-star g-star5,2016-09-05 15:36,金牌会员,Eros2013
8,,来自京东iPhone客户端,一直首选的红酒，经济实惠，值得购买,西拉-红,grade-star g-star5,2016-08-21 15:07,银牌会员,j***j
9,,来自京东iPhone客户端,黄尾袋鼠应该是这个价位我喝过的最润，果味最浓的一款了,梅洛-红,grade-star g-star5,2016-09-05 21:58,钻石会员,天***b
10,,来自京东iPhone客户端,黄尾袋鼠应该是这个价位我喝过的最润，果味最浓的一款了,加本力苏维翁,grade-star g-star5,2016-09-05 21:58,钻石会员,天***b
11,,来自京东iPhone客户端,黄尾袋鼠应该是这个价位我喝过的最润，果味最浓的一款了,西拉-红,grade-star g-star5,2016-09-05 21:58,钻石会员,天***b
12,河北,,包装很严实。很好。味道还可以。,梅洛-红,grade-star g-star5,2016-09-05 21:57,银牌会员,s***2
13,山东,来自京东Android客户端,京东自营性价比不错，放心,加本力苏维翁,grade-star g-star5,2016-09-03 11:31,钻石会员,s***7
14,山东,来自京东Android客户端,性价比不错，经常买，京东自营放心,加本力梅洛-红,grade-star g-star5,2016-09-03 11:31,钻石会员,s***7
15,,来自京东iPhone客户端,ok,西拉-红,grade-star g-star5,2016-08-28 00:37,银牌会员,j***8
16,福建,,喝了感觉不错，才继续再买,梅洛-红,grade-star g-star5,2016-08-31 13:13,钻石会员,l***2
17,北京,来自京东iPhone客户端,红红火火,梅洛-红,grade-star g-star5,2016-09-05 16:59,钻石会员,南***亨
18,北京,来自京东iPhone客户端,红红火火,加本力苏维翁,grade-star g-star5,2016-09-05 16:59,钻石会员,南***亨
19,北京,来自京东iPhone客户端,红红火火,西拉-红,grade-star g-star5,2016-09-05 16:59,钻石会员,南***亨
20,北京,来自京东iPhone客户端,红红火火,幕斯卡白,grade-star g-star5,2016-09-05 16:59,钻石会员,南***亨
21,北京,来自京东iPhone客户端,红红火火,幕斯卡桃红,grade-star g-star5,2016-09-05 16:59,钻石会员,南***亨
22,北京,来自京东iPhone客户端,红红火火,加本力梅洛-红,grade-star g-star5,2016-09-05 16:59,钻石会员,南***亨
23,广东,来自京东Android客户端,很好很好很好很好很好很好很好很好很好很好很好很好,霞多丽白,grade-star g-star5,2016-08-26 12:04,钻石会员,南***街
24,广东,来自京东Android客户端,很好很好很好很好很好很好很好很好很好很好很好很好,幕斯卡白,grade-star g-star5,2016-08-26 12:04,钻石会员,南***街
25,北京,来自京东iPhone客户端,信赖京东自营，虽然贵一点，但送货速度快！,西拉-红,grade-star g-star5,2016-09-05 19:40,钻石会员,w***6
26,广东,,公司买的~~~~~,加本力梅洛-红,grade-star g-star5,2016-09-02 10:56,钻石会员,z***2
27,广东,来自京东iPhone客户端,快递不错，价钱也可以，买买买。,加本力苏维翁,grade-star g-star5,2016-09-05 17:40,钻石会员,L***5
28,山东,来自微信购物,速度很快，好,西拉-红,grade-star g-star5,2016-09-05 10:32,金牌会员,j***1
29,北京,来自京东Android客户端,活动囤货，还是很划算的,梅洛-红,grade-star g-star5,2016-09-05 15:02,金牌会员,l***i
30,北京,来自京东Android客户端,活动囤货，还是很划算的,加本力苏维翁,grade-star g-star5,2016-09-05 15:02,金牌会员,l***i
31,广东,来自京东Android客户端,中秋佳节送礼必备，红酒看上去很不错,加本力苏维翁,grade-star g-star5,2016-09-05 20:40,钻石会员,彧***敌
32,北京,来自京东Android客户端,活动囤货，还是很划算的,西拉-红,grade-star g-star5,2016-09-05 15:02,金牌会员,l***i
33,浙江,来自京东iPhone客户端,很好，一直喝，味道好，价格实惠,梅洛-红,grade-star g-star5,2016-09-03 17:58,钻石会员,r***g
34,浙江,来自京东iPhone客户端,很好，一直喝，味道好，价格实惠,幕斯卡白,grade-star g-star5,2016-09-03 17:58,钻石会员,r***g
35,浙江,来自京东iPhone客户端,很好，一直喝，味道好，价格实惠,加本力梅洛-红,grade-star g-star5,2016-09-03 17:58,钻石会员,r***g
36,北京,来自京东iPhone客户端,半干的 口感很好 很值 网购很方便,梅洛-红,grade-star g-star5,2016-09-03 16:28,钻石会员,白***灵
37,广东,来自京东iPhone客户端,性价比高，口感略薄，不用醒酒，全5星推荐！,加本力苏维翁,grade-star g-star5,2016-06-26 19:36,金牌会员,l***y
38,吉林,来自京东Android客户端,味道虽然不算多好，但值这个价钱。,加本力苏维翁,grade-star g-star5,2016-06-26 10:45,钻石会员,亚***猫
39,吉林,来自京东Android客户端,最喜欢喝的酒，瓶子漂亮，味道好。,幕斯卡白,grade-star g-star5,2016-09-03 19:45,钻石会员,亚***猫
40,浙江,来自京东Android客户端,？作为餐酒还是挺不错的,西拉-红,grade-star g-star5,2016-06-25 19:35,金牌会员,j***s
41,浙江,来自京东Android客户端,京东的酒鬼了，酒全部在这里买。,加本力梅洛-红,grade-star g-star5,2016-06-25 19:35,金牌会员,j***s
42,安徽,来自京东iPhone客户端,?,加本力梅洛-红,grade-star g-star5,2016-08-17 13:00,银牌会员,4***8
43,安徽,来自京东iPhone客户端,很好、很赞、很快,加本力梅洛-红,grade-star g-star5,2016-09-04 23:09,银牌会员,4***8
44,,来自京东iPhone客户端,很好喝 不错 下次还会买 性价比高,西拉-红,grade-star g-star5,2016-06-04 11:45,铜牌会员,j***t
45,,来自京东iPhone客户端,很好喝 不错 下次还会买,西拉-红,grade-star g-star5,2016-06-28 09:02,铜牌会员,j***t
46,,来自京东iPhone客户端,黄尾袋鼠一直都是在下最爱，这款还真没试过?,桑格利亚,grade-star g-star5,2016-09-05 21:58,钻石会员,天***b
47,广东,来自京东Android客户端,口感醇厚，不错,西拉-红,grade-star g-star5,2016-08-28 19:37,钻石会员,L***i
48,,来自京东Android客户端,还不错，性价比挺高,西拉-红,grade-star g-star5,2016-09-01 13:47,铜牌会员,小***呀
49,天津,来自京东Android客户端,一直在京东商城购买放心便捷正品！,梅洛-红,grade-star g-star5,2016-08-25 19:18,钻石会员,模***待
