date,normal,abnormal
2011/11/11,4640,6200
2011/11/12,2343,6440
2011/11/13,3213,6440
2011/11/14,4450,4293
2011/11/15,4300,2146
2011/11/16,4290,6490
2011/11/17,4010,6320
2011/11/18,4560,6820
2011/11/19,2355,6960
2011/11/20,2432,7200
2011/11/21,3720,4123
2011/11/22,3740,2444
2011/11/23,3850,6880
2011/11/24,4150,7210
2011/11/25,5210,7300
2011/11/26,4131,7360
2011/11/27,1353,7060
2011/11/28,4680,5123
2011/11/29,3760,2044
2011/11/30,3680,6920
2011/12/1,3630,7070
2011/12/2,3260,6910
2011/12/3,2353,7080
2011/12/4,1322,7190
2011/12/5,3590,6534
2011/12/6,3040,4532
2011/12/7,3030,7310
2011/12/8,3410,7330
2011/12/9,2490,7130
2011/12/10,2132,7370
2011/12/11,1432,7250
2011/12/12,2160,4833
2011/12/13,2850,2416
2011/12/14,2900,7090
2011/12/15,3090,7110
2011/12/16,2840,7020
2011/12/17,2543,6670
2011/12/18,1231,6790
2011/12/19,1530,3425
2011/12/20,2020,3256
2011/12/21,2540,6730
2011/12/22,2440,7280
2011/12/23,2710,7190
2011/12/24,2085,7260
2011/12/25,1123,7340
2011/12/26,2100,7231
2011/12/27,1990,7023
2011/12/28,2260,7310
2011/12/29,2140,7230
2011/12/30,1150,7260
2011/12/31,1213,7190
2012/1/1,875,7130
2012/1/2,140,5683
2012/1/3,140,2343
2012/1/4,1140,7480
2012/1/5,1510,7210
2012/1/6,1410,7280
2012/1/9,1640,7280
2012/1/10,1790,7150
