Customer_ID,Gender,Age,L_O_S,Tariff,Handset
K100130,1,45,46.566667,CAT 50,SOP20
K100150,1,30,26.9,CAT 50,SOP20
K100180,1,37,27.966667,CAT 50,SOP10
K100270,1,44,29.833333,CAT 50,SOP20
K100290,1,27,20.066667,CAT 50,SOP20
K100360,1,30,45.7,CAT 50,SOP10
K100430,1,35,28.433333,CAT 50,SOP10
K100500,1,50,46.666667,CAT 50,SOP20
K100740,1,37,11.966667,CAT 50,SOP10
K101010,1,28,49.3,Play 100,SOP10
K101090,1,37,42.1,Play 100,SOP20
K101140,1,28,9.833333,Play 100,SOP10
K101150,1,30,19.966667,Play 100,SOP20
K101160,1,32,20.3,Play 100,SOP20
K101220,1,32,46.3,Play 100,SOP10
K101330,1,44,20.633333,Play 100,SOP10
K101390,1,43,25.566667,Play 100,SOP10
K101510,1,34,36.9,Play 100,SOP10
K101560,1,44,43.666667,Play 100,SOP20
K101690,1,33,26.766667,Play 100,SOP20
K101760,1,28,31.066667,Play 100,SOP20
K101780,1,33,25.966667,Play 100,SOP20
K101800,1,40,51.466667,Play 100,SOP10
K101870,1,31,24.366667,Play 100,SOP20
K101910,1,25,28.7,Play 100,SOP10
K101990,1,41,34.733333,Play 100,SOP20
K102050,1,36,48.866667,Play 100,SOP10
K102250,1,55,9.766667,CAT 50,SOP20
K102460,1,57,53.133333,Play 100,SOP20
K102540,0,53,18.666667,Play 100,SOP20
K102600,0,45,24.7,CAT 100,ASAD170
K102620,0,26,10.233333,CAT 100,S50
K102630,0,35,49.033333,CAT 100,ASAD170
K102640,1,27,58,CAT 100,S50
K102650,1,30,18,CAT 100,S50
K102660,0,31,27.266667,CAT 100,S80
K102670,0,33,16.333333,CAT 100,ASAD90
K102690,0,74,12.666667,CAT 100,ASAD170
K102700,0,34,28.333333,CAT 100,S50
K102710,1,31,25.7,CAT 100,S50
K102730,1,27,56.266667,CAT 100,S50
K102740,0,26,53.366667,CAT 100,ASAD90
K102750,0,40,32.8,CAT 100,ASAD170
K102760,1,52,51.133333,CAT 100,ASAD90
K102780,0,32,53.133333,CAT 100,ASAD170
K102790,0,35,34.566667,CAT 100,S80
K102800,1,34,36.766667,CAT 100,S80
K102830,0,48,36.433333,CAT 100,ASAD170
K102840,0,26,27.333333,CAT 100,S50
K102850,0,70,26.9,CAT 100,ASAD90
K102860,1,40,56.133333,CAT 100,ASAD90
K102880,1,41,30.3,CAT 100,ASAD170
K102900,0,29,57.6,CAT 100,ASAD170
K102910,1,44,42.833333,CAT 100,S50
K102920,1,33,42.6,CAT 100,S50
K102940,1,53,23.166667,CAT 100,ASAD170
K102950,1,31,52.566667,CAT 100,ASAD170
K102970,0,29,27.1,CAT 100,ASAD170
K102990,0,31,33.333333,CAT 100,ASAD170
K103000,0,27,28.066667,CAT 100,S80
K103010,0,31,34.5,CAT 100,ASAD170
K103020,0,34,49.733333,CAT 100,S80
K103030,1,44,33.2,CAT 100,ASAD170
K103040,1,64,45.3,CAT 100,ASAD170
K103050,0,52,42.433333,CAT 100,ASAD90
K103060,0,50,21.533333,CAT 100,ASAD170
K103090,1,32,45.933333,CAT 100,S50
K103110,1,35,23.7,CAT 100,S80
K103120,1,68,19.533333,CAT 100,ASAD170
K103130,0,49,42.566667,CAT 100,S80
K103140,1,42,57.633333,CAT 100,S80
K103150,0,29,34.633333,CAT 100,ASAD170
K103160,1,32,44.633333,CAT 100,S50
K103180,1,27,34.566667,CAT 100,S80
K103200,0,29,22.1,CAT 100,S80
K103210,1,32,23.233333,CAT 100,ASAD90
K103220,0,27,38.466667,CAT 100,S80
K103230,1,26,36.7,CAT 100,ASAD170
K103240,1,46,48.266667,CAT 100,S50
K103250,1,47,45.866667,CAT 100,S50
K103260,0,30,17.166667,CAT 100,S50
